LOGIN 1
Performance

Total Time Taken:1740
Class Name,API,Time Taken(ms),Api Category,Caller Stack
com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl,fetch,1,DATA_PROVIDER,com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor->com.eqtechnologic.eqube.security.service.central.EmbeddedDataService.fetch->com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice
com.eqtechnologic.eqube.security.client.central.events.EventPublisher,publish,1,DATA_CLONING,com.eqtechnologic.eqube.security.client.central.events.EventPublisher.publish->com.eqtechnologic.eqube.security.service.central.services.audit.AuditLogger.logAudit->com.eqtechnologic.eqube.security.service.central.services.audit.AuditLogger.auditTrail
com.eqtechnologic.eqube.security.service.central.CentralAuthenticationServiceImpl,validateDOSPolicy,0,CENTRAL_AUTH,com.eqtechnologic.eqube.security.service.central.aspects.CentralAuthorizationAspect.authorizationAdvice->com.eqtechnologic.eqube.security.client.webflow.servlet.LoginRequestAssistanceImpl.checkDOSPolicy->com.eqtechnologic.eqube.security.client.webflow.servlet.LoginRequestAssistanceImpl.validate
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetchUserForAuthentication->com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetchInternal->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetch
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetchInternal->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetch
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetchUserForAuthorization->com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.update->com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.persist->com.eqtechnologic.eqube.security.service.data.GenericDataProviderAspect.dataProviderInterceptor
com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper,getConnection,0,CALLBACK,com.eqtechnologic.eqube.security.shared.dao.DataSourceWrapper.getConnection->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetchInternal->com.eqtechnologic.eqube.security.service.data.GenericDataProviderImpl.fetch
